feel lucky,sounds\do_i_feel_lucky.mp3,
"abby who, abnormal",sounds\abby_who.mp3,400
"across the map, youre so far, thanks for playing",sounds\harry_carry_weve_covered_alot_of_ground_thanks.mp3,▶
advice,sounds\advice_dear_yes.mp3,▶
"are you a girl, is that a girl, im a lady, are you a boy, emily howard",sounds\emily_howard_lady.mp3,▶
are you gay,sounds\hiding_the_sausage.mp3,▶
asshole,sounds\im_surrounded_by_assholes.mp3,▶
australian,sounds\shrimp_on_the_barby_dumb_and_dumber.mp3,30
badass,sounds\baddest_of_all_time___chapelle_show.mp3,
"barbecue sauce, ribs, titties",sounds\bbq_sauce_on_my_titties.mp3,▶
"booze, drinking",sounds\bozzin_have_ya_-_dumb_and_dumber.mp3,▶
borat,sounds\borat_yack_sa_mash.mp3,▶
bozo,sounds\complete_bozo.mp3,▶
british,sounds\eh_eh_ehh.mp3,▶
"bunny, rabbit, jackrabbit, bunny rabbit, bunnies, bunnys, rabbid",randomsound_bunny.py,400
"cake, donuts, donut",sounds\cake_i_love_cake.mp3,
"came out of nowhere, jesus christ, theres one behind us",sounds\where_did_you_come_from_moira_rose.mp3,▶
"cclass, c class",sounds\cclass.mp3,▶
chicken,randomsound_chicken.py,30
"christian music, christians, religious, hip hop, christian",sounds\christian_music.mp3,▶
"civilized, uncivilized, people are weird",sounds\civilized_people_-_joker.mp3,▶
"coming for me, theyre coming",sounds\come_get_some.mp3,▶
"coming on me, hes on the tower, hes on the windmill",sounds\heh_heh_boy.mp3,▶
"computer, its a i, he does it with ai, its ai",sounds\computer_says_no.mp3,▶
"cook, cooking, hamburgers",sounds\somebody_barbequing.mp3,▶
"crackhouse, crackhouses, crack houses",sounds\smoke_got_me.mp3,▶
"crowd sizes, small hands, big crowd, crowd size, the debate, obama",sounds\crowd_sizes.mp3,▶
crybaby,randomsound_crybaby.py,▶
"cute, adorable",randomsound_cute.py,10
dangerous,sounds\shredding_waves_is_dangerous.mp3,
defense,sounds\defense_come_on.mp3,▶
dick,randomsound_wiener.py,▶
disappeared,sounds\im_not_even_here.mp3,
do you want it,sounds\do_you_want_it_your_asking_for_it.mp3,▶
dont cry,sounds\someones_going_to_start_crying.mp3,▶
dont you dare,sounds\dont_you_dare.mp3,▶
drama,sounds\but_its_just_a_game.mp3,▶
"ducky, duck, ducks",sounds\duck-toy-sound.mp3,▶
dumb and dumber,sounds\gd_day_mate_dumb_and_dumber.mp3,▶
eclipse,sounds\harry_carry_eclipse.mp3,▶
elves,sounds\everyone_wants_to_hurt_me_-_elf.mp3,▶
embarrassing,sounds\ashamed_of_your_self_emerassing.mp3,▶
"eminem, m and m, emenem",sounds\eminem.mp3,▶
"excuse me, what did he say",sounds\i_beg_your_pardon.mp3,▶
"fag, faggot",sounds\homophobic_attitude.mp3,▶
fairy dust,sounds\fairy_dust_sound_effect.mp3,▶
fake,sounds\plastic_and_fake.mp3,▶
fight club,sounds\welcome_to_fightclub.mp3,▶
follow me,sounds\follow_me_please.mp3,▶
"freaky, thats crazy",sounds\its_freaky_it_happens_pulp_fiction.mp3,▶
frustrating,sounds\this_close_deep_end.mp3,▶
fuck that,sounds\I_dont_fuck_with_you.mp3,▶
fuck you too,sounds\yes_fuck_you_too.mp3,▶
fun lobby,randomsound_lobby.py,▶
furry,sounds\not_attracted_to_humans.mp3,▶
"gary meow, cat, pussy, kitty",sounds\gary_meow.mp3,▶
gay,sounds\are_you_a_homosexua.mp3,▶
gay people,sounds\gays_want_too_much.mp3,▶
get off the phone,sounds\get_off_the_phone_dumb_and_dumber.mp3,▶
girls dont play,sounds\girls_dont_play.mp3,▶
go for the bots,sounds\nobody_got_time.mp3,▶
go insane,sounds\go_insane_-_beatlejuice.mp3,▶
gold,randomsound_gold.py,▶
good effort,randomsound_lose.py,▶
good morning my,sounds\good_morning_coming_to_america.mp3,▶
"good night, see ya, nice playing with you",randomsound_byebye.py,▶
goodnight,sounds\frau_blueher_goodnight.mp3,▶
gossip,sounds\gossip_-_moira_rose.mp3,▶
haha,sounds\high_laugh.mp3,▶
halloween,sounds\heppy_halloween.mp3,▶
he doesnt have a mic,sounds\i_didnt_realize_you_were_mute.mp3,▶
he got me mad,sounds\he_got_me_mad_dumb_and_dumber.mp3,▶
he's gay,sounds\he_is_a_gay.mp3,▶
headshot,sounds\got_ya_bitch.mp3,▶
"hello, hi there, hello there",randomsound_hello.py,▶
hes one tap,sounds\harry_potter_expecto_patronum.mp3,▶
"hes running, shes running, im running, theyre running",randomsound_running.py,▶
high school,sounds\High_school_training_wheels.mp3,▶
holy testical tuesday,sounds\holy_testical_tuesday.mp3,▶
"hot drop, hot draw, hotdrop",sounds\i_can_handle_danger.mp3,▶
how dare you,sounds\how_very_dare_you.mp3,▶
huckleberry,sounds\im_your_huckleberry.mp3,▶
i almost like it,sounds\ialmostlikeit.mp3,▶
I can't believe i got out of that,sounds\i_will_chew_through_you.mp3,
"i dont like that gun, guns not for me, no thanks, do you want this m60, do you want an m 60, want this m60",randomsound_NO.py,▶
I dont like the,sounds\nobody_got_time.mp3,▶
i dont remember asking you,sounds\i_dont_remember_asking_you_pulp_fiction.mp3,▶
i dont see them,sounds\a_few_moments_later.mp3,▶
i dont think you,sounds\i_dont_think_you_have_the_facilitys_for_that.mp3,▶
"i fell, fall damage",sounds\i_fell_little_britian.mp3,▶
"i got a kill, hes dead, i killed him",randomsound_got_a_kill.py,▶
i know that,sounds\i_know_that_spaceballs.mp3,▶
"i like that suit, bunny suit",sounds\your_bunny_big_lebowski.mp3,▶
i love cake,sounds\i_love_a_bit_of_cake.mp3,▶
i love gold,ilovegold.py,▶
i need help,randomsound_help.py,▶
"i think theyre new, i dont want to hotdrop",sounds\too_much_to_fast.mp3,▶
i was so nervous,sounds\i_was_so_nervous_i_became_nausious.mp3,▶
i was terrified,sounds\i_was_terrified.mp3,▶
igor,sounds\you_must_be_egor.mp3,▶
im about to die,randomsound_help.py,▶
im dead,sounds\what_did_you_expect_your_dead_-_beatlejuice.mp3,▶
"im fast, i go fast, run away, keep running",sounds\fast_as_fuck_boy.mp3,▶
im really good,sounds\expert_at_pop_one.mp3,▶
im sorry what were you saying,sounds\im_sorry_what_were_you_saying.mp3,▶
"im still alive, im alive",sounds\theres_no_feelings_they_hit_me_with_that_one.mp3,▶
im thirsty,sounds\woke_up_to_get_a_cold_pop.mp3,▶
impertinant,sounds\impertinant.mp3,▶
"in the ass, in the butt",sounds\crack_of_your_ass.mp3,▶
"in the butt, in the ass",sounds\colon_clensing.mp3,▶
is this your first game,sounds\what_does_this_button_do.mp3,▶
"its just a bot, your momma, its just bots, i got killed by a bot",sounds\your_momma_was_a_snowblower.mp3,▶
its late here,sounds\im_a_little_tired.mp3,▶
its like a cartoon,randomsound_cartoonscramble.py,▶
its what im good at,sounds\its_what_im_good_at.mp3,▶
jesus man,sounds\jesus_you_said_it_man_big_lebowski.mp3,
keep your mouth shut,sounds\keep_your_mouth_shut_-_dumb_and_dumber.mp3,▶
Keywords,Action,
"kids are bullies, stupid kids, get off my lawn, squeaker",randomsound_kids_are_Bullies.py,▶
knife,randomsound_knife.py,
"lasers, laser",randomsound_lasers.py,▶
lets get to zone,sounds\follow_me_please.mp3,▶
"lets hotdrop, hop drop, im gonna hotdrop, im gonna hot drop, we should hot drop, we should hotdrop, hot drop, hot draw, hotdrop",randomsound_hotdrop.py,
line stepper,sounds\habitual_line_stepper-charlie_murphy.mp3,▶
love that,sounds\you_love_it.mp3,▶
"lovely accent, i like your accent",sounds\lovely_accent_dumb_and_dumber.mp3,▶
make my day,sounds\make_my_day.mp3,▶
missy elliot,sounds\missy_win_best.mp3,▶
moira rose,sounds\moira_rose_hello___scary_lasers.mp3,
morning,sounds\morning.mp3,▶
motionless in white,sounds\motionless_win.mp3,▶
my fault,sounds\oh_i_see_its_my_fault.mp3,▶
my friends,sounds\lilo_my_friends_need_to_be_punished.mp3,▶
need a hug,sounds\You_need_a_hug_buddy.mp3,▶
need a hug buddy,sounds\You_need_a_hug_buddy.mp3,▶
"nice skin, i like that skin, nice suit",randomsound_skin_comment.py,▶
"no one hot dropped, no one hotdropped",sounds\gigglelaugh.mp3,▶
normal,sounds\abby_who.mp3,▶
obsessed,sounds\im_obsessed.mp3,▶
oh yeah the bitch,sounds\oh_yeah_the_bitch.mp3,▶
only a game,randomsound_just_a_game.py,▶
only gay in the village,sounds\i_am_the_only_gay_in_this_village.mp3,▶
oops i did it again,sounds\oops_i_did_it_again_baby_yeah.mp3,▶
"out of ammo, out of bullets, i need some orange",randomsound_out_of_ammo.py,▶
pegging,sounds\pegging_broad_city.mp3,▶
people are selfish,sounds\concept_other_people_dumb_and_dumber.mp3,▶
"pin dropper, hes pin dropping, theyre pin dropping",sounds\dont_you_dare.mp3,▶
"poopie, poop, poopy",sounds\poopie.mp3,▶
population one,sounds\population_one.mp3,▶
Probably still pretty bad,sounds\Probably_still_pretty_bad.mp3,▶
puddle of sweat,sounds\puddle_of_sweat.mp3,▶
pulp fiction,sounds\this_is_a_tasty_burger___pulp_fiction.mp3,▶
"pump up, lets go, lets go get them",randomsound_letsgo.py,
ready to get fucked,sounds\were_gonna_fuck_you_up_big_lebowski.mp3,▶
restore revive,sounds\restore_revive.mp3,▶
revive me,sounds\revive_me.mp3,▶
rick roll,sounds\rick_roll.mp3,▶
rude,sounds\so_insulted.mp3,▶
santa,randomsound_santa.py,▶
sarcastic laugh,sounds\sarcastic_laugh.mp3,▶
scary lasers,sounds\scary_lasers.mp3,▶
"shake your ass, the real shit",sounds\shake_your_ass_full.mp3,▶
"shes drunk, shes wasted, hes drunk, hes wasted, drunk, i could go for a drinkrefill my drink, another beer",randomsound_drunk.py,▶
shes really good,sounds\shes_really_good.mp3,▶
shoot them,sounds\shot_them_video_games.mp3,▶
shop,sounds\getinloser.mp3,▶
shut the fuck up,sounds\im_eleven_so_shut_the_fuck_up.mp3,▶
"single, tree",sounds\im_going_to_climb_that_like_a_tree.mp3,
sister i dont mind shooting,sounds\sister_i_dont_mind_shooting.mp3,▶
smiling,sounds\smilings_my_favorite_-_elf.mp3,▶
"sneaky, sneak up",sounds\classical_sneaky.mp3,▶
so insulted,sounds\so_insulted.mp3,▶
"so quick, so fast, do it so fast, trigger fast, how are you doing that, how do you do that, how is he doing that",randomsound_fast.py,▶
"so sweaty, bunch of sweats, your sweaty, im sweating",randomsound_sweats.py,▶
something for you,sounds\i_got_something_for_you.mp3,▶
Sounds lucrative,sounds\Sounds_lucrative.mp3,▶
spit roast,sounds\nice_and_hot.mp3,
squad wipe,sounds\somebody_dosent_have_your_back_anymore.mp3,▶
stabbed him,sounds\bunny_stab.mp3,▶
streaming,sounds\harry_carry_weve_got_a_great_show_lined_up.mp3,▶
"suspicious, cheating, hes glitching, how did he kill me, how did they kill me",sounds\thats_sus.mp3,▶
"sweat lobby, bunch of sweat, of sweat, wet lobby, of wet, why so sweaty, sweaty",randomsound_sweats.py,
sweaty lobby,sounds\sweat_-_rythm_take_controle.mp3,▶
swingers,sounds\swingers.mp3,▶
Take them out,sounds\Take_them_out_any_way.mp3,▶
tell you the truth lil bit,sounds\tell_you_the_truth_lil_bit.mp3,▶
tennis,sounds\game_of_tennis.mp3,▶
"thanks for the rez, thanks for the revive, thanks for the res, revive him, revive her",randomsound_revived.py,▶
"that a soundboard, you have a soundboard, thats a soundboard, you have sound clips, do you have sound bytes",randomsound_soundboard.py,
"that clown, your a clown,im a clown,",sounds\im_a_clown_i_amuse_you.mp3,▶
that was terrible,sounds\ashamed_of_your_self_emerassing.mp3,▶
"thats a win, good job, we won",randomsound_win.py,400
"thats bullshit, bull shit",sounds\what_a_load_of_horse_shit.mp3,▶
"thats funny, hilarious",randomsound_funny.py,▶
thats gay,sounds\prostate_stimulation.mp3,▶
thats me,sounds\thats_me_-_bill_murray.mp3,▶
thats not very nice,randomsound_bully.py,▶
thats what she said,sounds\give_youre_meat_arub.mp3,▶
the only gay in the village,sounds\the_only_gay_in_the_village.mp3,▶
there is no pleasing you,sounds\there_is_no_pleasing_you.mp3,▶
they ran out of bullets,sounds\they_ran_out_of_bullets.mp3,▶
theyre not a very good shot,sounds\he_didnt_hit_nothing_-_pulp_fiction.mp3,▶
theyre pushing,sounds\enemy_moves_against_us.mp3,▶
theyre trying to get around us,sounds\fuck_you.mp3,▶
this is the real shit,sounds\this_is_the_real_shit_short.mp3,▶
"this lobby is empty, empty lobby, the lobbies are empty",sounds\a_visitor_is_all_i_ask_lonely_life.mp3,▶
tiger,sounds\you_are_tight_like_a_tiger.mp3,▶
"timing, your good at that",sounds\Youre_funny_perfect_timing.mp3,▶
tried to kill me,sounds\tried_to_kill_me___arnold.mp3,▶
trump,sounds\trump_comprehend.mp3,▶
try hard,randomsound_try.py,▶
ugh,sounds\_ughhh__big_lebowski.mp3,▶
unappreciated,sounds\im_here_to_help_not_appreciated.mp3,▶
verified,sounds\zero_subscribe.mp3,▶
very scary,sounds\your_a_very_scary_person.mp3,▶
vicky,sounds\little_britan.mp3,600
want that one,sounds\i_want_that_one.mp3,▶
want this gold awp,sounds\gee_let_me_thing_um_sure_-_ace_ventura.mp3,▶
want to hot drop with us,sounds\its_gonna_be_super_scary.mp3,▶
we will do better next time,randomsound_lose.py,▶
were gonna fuck you up,sounds\are_you_ready_to_be_fucked_big_lebowski.mp3,▶
"were gonna win this, i believe in you",sounds\classical_last_battle.mp3,▶
were in trouble,randomsound_ohno.py,▶
"what hump, young frankenstien, gene wilder",sounds\what_hump.mp3,▶
what the fuck is that,sounds\what_the_fuck_is_that.mp3,▶
"what the fuck, what the hell",WTF.py,▶
whats this,sounds\whats_this_-_elf.mp3,▶
whats up,sounds\okay.mp3,▶
whats your problem,sounds\nothing_whats_your_problem.mp3,▶
where are they,sounds\i_dont_know.mp3,▶
"where are you going, running away",sounds\why_are_you_running.mp3,▶
"where did he go, where did they go",sounds\starting_to_freak_me_out.mp3,▶
wolf,sounds\big_bad_wolf.mp3,▶
wonderful woman,sounds\laugh_wonderful_woman_big_lebowski.mp3,▶
wow oh my god,sounds\oh_my_god_sing.mp3,600
"wrong, they are wrong",sounds\well_they_were_wrong_then_werent_they.mp3,▶
"xanax, xamax, zanex",sounds\_xanex_this_morning.mp3,▶
yay1111,sounds\kids_cheering.mp3,
"you are amazing, that is funny as hell, I have ammo for you, i have a gun for you, i have a bannana for you, that is awesome, thats cool, that is so cool",randomsound_thank_you.py,▶
you are stupid,sounds\realize_how_stupid_you_are.mp3,▶
you die first,sounds\you_die_first.mp3,▶
you like it,sounds\your_dying_for_it.mp3,▶
your a kid,sounds\kid_stumbling_over_words.mp3,▶
your opinion,sounds\your_opinion_man_big_lebowski.mp3,▶
"your too old, old people, old man, geriatric, youre showing your age, youre dating yourself",randomsound_your_old.py,▶
youre a bully,randomsound_bully.py,▶
youre a little cunt,sounds\your_a_little_cunt.mp3,▶
youre crazy,sounds\you_should_be_medicated_step_bros.mp3,▶
"youre dumb, you are dumb",sounds\you_look_like_a_baby.mp3,▶
youre funny,sounds\i_make_you_laugh_im_here_to_amuse_you.mp3,▶
youre pretty cool,sounds\i_like_you.mp3,▶
youre weird,sounds\your_wierd.mp3,▶
